ZipCode,Latitude,Longitude
10001,40.75368539999999,-73.9991637
10002,40.7135097,-73.9859414
10003,40.7322535,-73.9874105
10004,40.7038704,-74.0138541
10005,40.6998433,-74.0072436
10006,40.709329,-74.0131196
10007,40.7136487,-74.0087126
10008,40.7097781,-74.00982710000001
10009,40.7275043,-73.9800645
10010,40.7388319,-73.98153370000001
10011,40.7464969,-74.0094471
10012,40.7250632,-73.9976946
10013,40.7217861,-74.0094471
10014,40.7366138,-74.0094471
10015,48.429958,4.120541
10016,40.74727,-73.9800645
10017,40.7519846,-73.9697795
10018,40.755322,-73.9932872
10019,40.7686973,-73.9918181
10020,40.7605505,-73.98226830000002
10021,40.7700703,-73.9580246
10022,40.7593941,-73.9697795
10023,40.7769059,-73.9800645
10024,40.7859464,-73.97418739999999
10025,40.7999209,-73.96831019999999
10026,40.8032131,-73.95258249999999
10027,40.8138912,-73.96243270000001
10028,40.77664120000001,-73.9521468
10029,40.79164069999999,-73.9447994
10030,40.8173411,-73.9433299
10031,40.8270209,-73.9506774
10032,40.8409822,-73.9447994
10033,40.8557765,-73.9447994
10034,40.8721452,-73.92128579999999
10035,40.794065,-73.9271644
10036,40.7602619,-73.9932872
10037,40.8140369,-73.9374517
10038,40.7071498,-74.0021019
10039,40.8288377,-73.9374517
10040,40.8639624,-73.93304289999999
10041,40.7035351,-74.00978099999999
10044,40.7573053,-73.9550857
10045,40.708873,-74.0093553
10048,48.171304,4.617051
10055,40.7589745,-73.97419099999999
10060,40.75,-73.99
10069,40.7750791,-73.9932872
10090,40.71,-74.00999999999999
10095,40.75,-73.99
10098,47.977528,4.107552
10099,48.02561799999999,3.912706999999999
10103,40.7598323,-73.97633859999999
10104,40.760105,-73.9780442
10105,40.7634529,-73.9798808
10106,40.76546159999999,-73.9809827
10107,40.7659788,-73.982452
10110,40.75352770000001,-73.9809365
10111,40.7591267,-73.97767689999999
10112,40.7590788,-73.9795135
10115,40.8108356,-73.96371839999999
10118,40.7484238,-73.9856319
10119,40.7502013,-73.9931036
10120,40.7499889,-73.9894307
10121,40.74928209999999,-73.9917906
10122,40.7513534,-73.99132639999999
10123,40.75184549999999,-73.9916344
10128,40.7826039,-73.9506774
10151,40.7631239,-73.9737712
10152,40.758778,-73.9727343
10153,40.7638697,-73.9732294
10154,40.7577789,-73.9725344
10155,40.7608571,-73.9681265
10158,40.7490007,-73.9756518
10161,40.71,-74.00999999999999
10162,40.7694389,-73.9500145
10165,40.7521822,-73.9787789
10166,40.7541009,-73.9763266
10167,40.75469590000001,-73.97473839999999
10168,40.751356,-73.9773096
10169,40.7545632,-73.9759771
10170,40.7525629,-73.976024
10171,40.7565106,-73.9743893
10172,40.7555302,-73.9751038
10173,40.754139,-73.9795135
10174,40.7517367,-73.9745547
10175,40.7544003,-73.9801334
10176,40.7555263,-73.9784116
10177,40.7550496,-73.9756191
10178,40.7508375,-73.9785294
10199,40.7517769,-73.9965928
10270,40.7051078,-74.0056827
10271,40.7085019,-74.0110018
10278,40.7151351,-74.0039382
